state,rank,employer,employees,pledge
Nebraska,2,Walmart,13000,Yes
Nebraska,3,Berkshire Hathaway,7900,No
Nevada,1,Walmart,15700,Yes
Nevada,2,Wynn Las Vegas,10000,No
Nevada,3,Bellagio Hotel and Casino,8000,No
New Hampshire,1,Walmart,8000,Yes
New Hampshire,2,Dartmouth-Hitchcock,6000,No
New Hampshire,3,University System of New Hampshire,5500,No
New Jersey,1,Amazon,49000,No
New Jersey,2,AT&T,48000,No
New Jersey,3,Walmart,25000,Yes
New Mexico,1,University of New Mexico,20000,No
New Mexico,2,Los Alamos National Laboratory,14000,No
New Mexico,3,Sandia National Laboratories,12400,No
New York,1,New York Presbyterian Hospital,48000,No
New York,2,Montefiore Health System,43000,No
New York,3,NYU Langone Health,36000,No
North Carolina,1,Walmart,52000,Yes
North Carolina,2,University of North Carolina at Chapel Hill,30000,No
North Carolina,3,Duke University & Health System,28000,No
North Dakota,1,Sanford Health,12000,No
North Dakota,2,North Dakota State University,8000,No
North Dakota,3,University of North Dakota,7000,No
Ohio,1,Cleveland Clinic,51000,No
Ohio,2,Ohio State University,45000,No
Ohio,3,Kroger,43000,Yes
Oklahoma,1,Walmart,33000,Yes
Oklahoma,2,Integris Health,19000,No
Oklahoma,3,Chickasaw Nation,17000,No
Oregon,1,Intel,20000,Yes
Oregon,2,Providence Health & Services,17000,No
Oregon,3,Oregon Health & Science University,16000,No
Pennsylvania,1,University of Pittsburgh Medical Center,90000,No
Pennsylvania,2,Penn State University,46000,No
Pennsylvania,3,Penn Medicine,35000,No
Rhode Island,1,Lifespan,14000,No
Rhode Island,2,CVS Health,10000,Yes
Rhode Island,3,Brown University,7500,No
South Carolina,1,Walmart,31000,Yes
South Carolina,2,Boeing,21000,No
South Carolina,3,University of South Carolina,19000,No
South Dakota,1,Avera Health,17000,No
South Dakota,2,Sanford Health,16000,No
South Dakota,3,Black Hills Corporation,7000,No
Tennessee,1,Vanderbilt University Medical Center,24000,No
Tennessee,2,FedEx,20000,No
Tennessee,3,Tennessee State Government,18000,No
Texas,1,H-E-B,42000,No
Texas,2,Texas Health Resources,30000,No
Texas,3,The University of Texas at Austin,25000,No
Utah,1,Intermountain Healthcare,41000,No
Utah,2,University of Utah,30000,No
Utah,3,State of Utah,25000,No
Vermont,1,University of Vermont Medical Center,8000,No
Vermont,2,University of Vermont,4000,No
Vermont,3,GlobalFoundries,3000,No
Virginia,1,Inova Health System,18000,No
Virginia,2,Northrop Grumman,16000,No
Virginia,3,Capital One,15000,No
Washington,1,Amazon,50000,No
Washington,2,Microsoft,48000,Yes
Washington,3,Boeing,42000,No
West Virginia,1,Walmart,12000,Yes
West Virginia,2,West Virginia University,10000,No
West Virginia,3,Charleston Area Medical Center,9000,No
Wisconsin,1,University of Wisconsin System,38000,No
Wisconsin,2,Menards,20000,No
Wisconsin,3,Kohl's,18000,No
Wyoming,1,Walmart,8000,Yes
Wyoming,2,University of Wyoming,7000,No
Wyoming,3,Wyoming Medical Center,4000,No
