"State","Industry","TotalJobs"
"Vermont","food service",600
"Vermont","construction",300
"Vermont","waste management",1
"Vermont","home health",100
"Virginia","retail",1000
"Virginia","food service",4000
"Virginia","construction",4000
"Virginia","waste management",NA
"Virginia","home health",1000
"Washington","retail",1000
"Washington","food service",2000
"Washington","construction",2000
"Washington","waste management",25
"Washington","home health",600
"West Virginia","retail",200
"West Virginia","food service",700
"West Virginia","construction",400
"West Virginia","waste management",8
"West Virginia","home health",100
"Wisconsin","retail",1000
"Wisconsin","food service",3000
"Wisconsin","construction",2000
"Wisconsin","waste management",25
"Wisconsin","home health",500
"Wyoming","retail",100
"Wyoming","food service",400
"Wyoming","construction",400
"Wyoming","waste management",NA
"Wyoming","home health",50
